id,city,status,gate,claim,scheduled_time,actual_time,flight_codes,arrival_airport_code
-1,Vancouver,Delayed,14,2,2026-03-14 11:25:00,2026-03-14 11:40:00,AC598,YVR
708691,San Jose,On Time,17,5,2026-03-14 11:25:00,2026-03-14 11:25:00,WN3810,SJC
-1,Houston,On Time,10,4,2026-03-14 11:27:00,2026-03-14 11:27:00,UA1383,IAH
-1,Phoenix,On Time,5,1,2026-03-14 11:36:00,2026-03-14 11:36:00,AA456,PHX
-1,Santa Rosa,On Time,13,3,2026-03-14 11:37:00,2026-03-14 11:37:00,AS3395,STS
-1,Chicago/O'Hare,On Time,8,4,2026-03-14 11:51:00,2026-03-14 11:51:00,"UA1304, AC5451",ORD
-1,Everett,Early,12,3,2026-03-14 11:52:00,2026-03-14 11:25:00,AS2270,PAE
-1,New York/JFK,On Time,7,1,2026-03-14 11:52:00,2026-03-14 11:52:00,AA3085,JFK
-1,Dallas-Ft. Worth,On Time,6,1,2026-03-14 11:57:00,2026-03-14 11:57:00,AA2264,DFW
708699,Oakland,On Time,18,5,2026-03-14 12:05:00,2026-03-14 12:05:00,WN1984,OAK
-1,Seattle-Tacoma,Early,11,3,2026-03-14 12:08:00,2026-03-14 11:53:00,AS759,SEA
-1,Salt Lake City,On Time,1A,2,2026-03-14 12:20:00,2026-03-14 12:20:00,DL1189,SLC
-1,San Francisco,On Time,9,4,2026-03-14 12:22:00,2026-03-14 12:22:00,"UA643, AC3054",SFO
-1,Phoenix,On Time,5,1,2026-03-14 12:37:00,2026-03-14 12:37:00,AA457,PHX
-1,Montrose,On Time,2,2,2026-03-14 12:38:00,2026-03-14 12:38:00,MX623,MTJ
-1,Tucson,On Time,12,3,2026-03-14 12:47:00,2026-03-14 12:47:00,AS3471,TUS
-1,Denver,On Time,10,4,2026-03-14 13:15:00,2026-03-14 13:15:00,"UA1320, AC5277",DEN
708705,Phoenix,On Time,18,5,2026-03-14 13:20:00,2026-03-14 13:20:00,WN3496,PHX
-1,Portland,Early,11,3,2026-03-14 13:22:00,2026-03-14 13:01:00,AS588,PDX
-1,Calgary,On Time,,1,2026-03-14 13:24:00,2026-03-14 13:24:00,WS1580,YYC
708706,Sacramento,On Time,17,5,2026-03-14 13:35:00,2026-03-14 13:35:00,WN3759,SMF
-1,Dallas-Ft. Worth,On Time,6,1,2026-03-14 13:57:00,2026-03-14 13:57:00,AA2861,DFW
-1,Las Vegas,On Time,15,6,2026-03-14 13:58:00,2026-03-14 13:58:00,NK949,LAS
-1,San Francisco,On Time,12,3,2026-03-14 14:10:00,2026-03-14 14:10:00,AS3022,SFO
-1,Houston,On Time,8,4,2026-03-14 14:11:00,2026-03-14 14:11:00,UA1612,IAH
-1,Seattle-Tacoma,Early,11,3,2026-03-14 14:13:00,2026-03-14 13:56:00,AS1357,SEA
-1,Chicago/O'Hare,On Time,7,1,2026-03-14 14:23:00,2026-03-14 14:23:00,AA2212,ORD
708709,Las Vegas,On Time,18,5,2026-03-14 15:15:00,2026-03-14 15:15:00,WN1926,LAS
-1,San Francisco,On Time,12,3,2026-03-14 15:26:00,2026-03-14 15:26:00,AS3465,SFO
-1,Dallas-Ft. Worth,On Time,6,1,2026-03-14 15:54:00,2026-03-14 15:54:00,AA2659,DFW
708712,Sacramento,On Time,19,5,2026-03-14 15:55:00,2026-03-14 15:55:00,WN4501,SMF
708713,Phoenix,On Time,20,5,2026-03-14 16:05:00,2026-03-14 16:05:00,WN1232,PHX
-1,Boise,On Time,16,6,2026-03-14 16:06:00,2026-03-14 16:06:00,G41596,BOI
-1,Salt Lake City,Early,4,2,2026-03-14 16:09:00,2026-03-14 16:02:00,DL1277,SLC
-1,Phoenix,On Time,6,1,2026-03-14 16:11:00,2026-03-14 16:11:00,AA2094,PHX
708714,San Jose Del Cabo,On Time,14,5,2026-03-14 16:25:00,2026-03-14 16:25:00,WN641,SJD
-1,Seattle-Tacoma,Early,11,3,2026-03-14 16:26:00,2026-03-14 16:05:00,AS743,SEA
-1,San Francisco,On Time,12,3,2026-03-14 16:45:00,2026-03-14 16:45:00,AS3494,SFO
-1,Las Vegas,Early,3,2,2026-03-14 16:48:00,2026-03-14 16:38:00,DL4074,LAS
708717,Las Vegas,On Time,19,5,2026-03-14 17:10:00,2026-03-14 17:10:00,WN1538,LAS
-1,Newark,On Time,8,4,2026-03-14 17:18:00,2026-03-14 17:18:00,"UA1847, AC3744",EWR
-1,Portland,On Time,11,3,2026-03-14 17:19:00,2026-03-14 17:19:00,AS264,PDX
-1,Denver,On Time,10,4,2026-03-14 17:32:00,2026-03-14 17:32:00,"UA422, AC3635",DEN
708719,Austin,On Time,18,5,2026-03-14 17:55:00,2026-03-14 17:55:00,WN147,AUS
-1,Seattle-Tacoma,Early,3,2,2026-03-14 18:22:00,2026-03-14 18:16:00,DL2318,SEA
-1,Dallas-Ft. Worth,On Time,7,1,2026-03-14 18:27:00,2026-03-14 18:27:00,AA3223,DFW
708722,San Jose,On Time,17,5,2026-03-14 18:30:00,2026-03-14 18:30:00,WN4459,SJC
-1,San Francisco,On Time,8,4,2026-03-14 18:35:00,2026-03-14 18:35:00,"UA5650, AC4332",SFO
708723,Oakland,Delayed,19,5,2026-03-14 18:45:00,2026-03-14 18:55:00,WN4102,OAK
708724,Denver,On Time,20,5,2026-03-14 18:55:00,2026-03-14 18:55:00,WN4133,DEN
-1,Chicago/O'Hare,On Time,9,4,2026-03-14 18:57:00,2026-03-14 18:57:00,"UA1317, AC5455",ORD
-1,Phoenix,On Time,5,1,2026-03-14 18:58:00,2026-03-14 18:58:00,AA2088,PHX
-1,Seattle-Tacoma,On Time,11,3,2026-03-14 19:06:00,2026-03-14 19:06:00,AS773,SEA
708735,Phoenix,On Time,18,5,2026-03-14 19:30:00,2026-03-14 19:35:00,WN4001,PHX
-1,Atlanta,Early,3,2,2026-03-14 19:42:00,2026-03-14 19:32:00,DL826,ATL
-1,Newark,On Time,9,4,2026-03-14 19:54:00,2026-03-14 19:54:00,"UA2415, AC3739",EWR
-1,Spokane,Early,12,3,2026-03-14 20:00:00,2026-03-14 19:45:00,AS2337,GEG
-1,Seattle-Tacoma,On Time,15,3,2026-03-14 20:06:00,2026-03-14 20:06:00,AS1307,SEA
-1,Dallas-Ft. Worth,On Time,6,1,2026-03-14 20:23:00,2026-03-14 20:23:00,AA1112,DFW
-1,Portland,On Time,13,3,2026-03-14 20:25:00,2026-03-14 20:25:00,AS711,PDX
-1,Provo,On Time,4,2,2026-03-14 20:30:00,2026-03-14 20:30:00,MX604,PVU
708738,Las Vegas,On Time,19,5,2026-03-14 20:30:00,2026-03-14 20:30:00,WN270,LAS
-1,San Francisco,On Time,8,4,2026-03-14 20:50:00,2026-03-14 20:50:00,"UA589, AC4186",SFO
708739,Sacramento,On Time,20,N/A,2026-03-14 20:55:00,2026-03-14 20:55:00,WN4502,SMF
-1,Minneapolis-St. Paul,Early,3,2,2026-03-14 20:56:00,2026-03-14 20:44:00,DL2107,MSP
-1,Denver,On Time,10,4,2026-03-14 21:03:00,2026-03-14 21:03:00,"UA1704, AC5385",DEN
-1,San Francisco,On Time,12,3,2026-03-14 21:03:00,2026-03-14 21:03:00,AS3492,SFO
708740,San Jose,On Time,18,N/A,2026-03-14 21:05:00,2026-03-14 21:05:00,WN1543,SJC
-1,Seattle-Tacoma,On Time,14,4,2026-03-14 21:12:00,2026-03-14 21:12:00,AS1309,SEA
-1,Las Vegas,On Time,16,6,2026-03-14 21:13:00,2026-03-14 21:13:00,NK1626,LAS
708742,Oakland,On Time,21,N/A,2026-03-14 21:15:00,2026-03-14 21:15:00,WN4619,OAK
-1,Charlotte,On Time,7,1,2026-03-14 21:17:00,2026-03-14 21:17:00,AA1140,CLT
708743,Phoenix,On Time,17,N/A,2026-03-14 21:35:00,2026-03-14 21:35:00,WN2859,PHX
-1,Chicago/O'Hare,On Time,4,1,2026-03-14 21:39:00,2026-03-14 21:39:00,AA1179,ORD
-1,Houston,On Time,,4,2026-03-14 21:45:00,2026-03-14 21:45:00,UA1590,IAH
708744,Dallas/Love Field,On Time,19,N/A,2026-03-14 21:45:00,2026-03-14 21:45:00,WN2328,DAL
708745,Denver,On Time,20,N/A,2026-03-14 21:55:00,2026-03-14 21:55:00,WN2010,DEN
-1,Salt Lake City,Early,1A,2,2026-03-14 21:55:00,2026-03-14 21:45:00,DL1304,SLC
-1,Phoenix,On Time,5,1,2026-03-14 21:56:00,2026-03-14 21:56:00,AA2637,PHX
708753,Las Vegas,On Time,18,N/A,2026-03-14 22:15:00,2026-03-14 22:15:00,WN1973,LAS
-1,Dallas-Ft. Worth,On Time,5,1,2026-03-14 22:45:00,2026-03-14 22:45:00,AA2370,DFW
-1,Dallas-Ft. Worth,On Time,6,,2026-03-14 06:45:00,2026-03-14 06:45:00,AA1382,DFW
-1,Phoenix,On Time,5,,2026-03-14 06:45:00,2026-03-14 06:45:00,AA628,PHX
-1,Seattle-Tacoma,Cancelled,14,,2026-03-14 06:45:00,2026-03-14 06:45:00,AS1325,SEA
-1,San Francisco,On Time,12,,2026-03-14 06:45:00,2026-03-14 06:45:00,AS3251,SFO
-1,Portland,On Time,14,,2026-03-14 06:45:00,2026-03-14 06:45:00,AS750,PDX
-1,Atlanta,On Time,2,,2026-03-14 06:45:00,2026-03-14 06:45:00,DL721,ATL
-1,Las Vegas,On Time,15,,2026-03-14 06:45:00,2026-03-14 06:45:00,NK714,LAS
-1,Chicago/O'Hare,On Time,8,,2026-03-14 06:45:00,2026-03-14 06:45:00,"UA587, AC5171",ORD
708633,Las Vegas,On Time,21,,2026-03-14 06:45:00,2026-03-14 06:45:00,WN2240,LAS
708634,Denver,On Time,20,,2026-03-14 06:45:00,2026-03-14 06:45:00,WN2557,DEN
708635,Oakland,On Time,22B,,2026-03-14 06:45:00,2026-03-14 06:45:00,WN4506,OAK
-1,Newark,On Time,11,,2026-03-14 06:46:00,2026-03-14 06:46:00,"UA661, AC4076",EWR
708637,Phoenix,On Time,19,,2026-03-14 07:00:00,2026-03-14 07:00:00,WN1242,PHX
708641,Dallas/Love Field,On Time,18,,2026-03-14 07:05:00,2026-03-14 07:05:00,WN3769,DAL
-1,Salt Lake City,On Time,1A,,2026-03-14 07:05:00,2026-03-14 07:05:00,DL1185,SLC
708642,Sacramento,Cancelled,17,,2026-03-14 07:10:00,2026-03-14 07:10:00,WN4518,SMF
-1,San Francisco,On Time,10,,2026-03-14 07:19:00,2026-03-14 07:19:00,"UA1326, AC5213",SFO
-1,Denver,On Time,9,,2026-03-14 07:25:00,2026-03-14 07:25:00,"UA250, AC3449",DEN
-1,Montrose,On Time,4,,2026-03-14 07:30:00,2026-03-14 07:30:00,MX622,MTJ
-1,Seattle-Tacoma,On Time,3,,2026-03-14 07:30:00,2026-03-14 07:30:00,DL1293,SEA
-1,Charlotte,On Time,5,,2026-03-14 07:45:00,2026-03-14 07:45:00,AA2209,CLT
-1,Chicago/O'Hare,On Time,7,,2026-03-14 07:45:00,2026-03-14 07:45:00,AA2590,ORD
-1,Minneapolis-St. Paul,On Time,2,,2026-03-14 08:00:00,2026-03-14 08:00:00,DL2185,MSP
708651,San Jose,On Time,17,,2026-03-14 08:00:00,2026-03-14 08:00:00,WN3565,SJC
-1,Seattle-Tacoma,On Time,13,,2026-03-14 08:05:00,2026-03-14 08:05:00,AS702,SEA
-1,Houston,On Time,8,,2026-03-14 08:10:00,2026-03-14 08:10:00,UA700,IAH
-1,Dallas-Ft. Worth,On Time,6,,2026-03-14 08:17:00,2026-03-14 08:17:00,AA3218,DFW
708655,Las Vegas,On Time,22B,,2026-03-14 08:25:00,2026-03-14 08:25:00,WN1892,LAS
-1,Denver,On Time,10,,2026-03-14 08:49:00,2026-03-14 08:49:00,"UA489, AC4124",DEN
708664,Austin,On Time,20,,2026-03-14 09:00:00,2026-03-14 09:00:00,WN4455,AUS
708665,Phoenix,On Time,18,,2026-03-14 09:05:00,2026-03-14 09:05:00,WN726,PHX
-1,Dallas-Ft. Worth,On Time,7,,2026-03-14 09:23:00,2026-03-14 09:23:00,AA1686,DFW
-1,San Francisco,On Time,8,,2026-03-14 09:24:00,2026-03-14 09:24:00,"UA5309, AC4589",SFO
-1,Phoenix,On Time,5,,2026-03-14 09:48:00,2026-03-14 09:48:00,AA543,PHX
-1,Phoenix,On Time,,,2026-03-14 09:50:00,2026-03-14 09:50:00,F94592,PHX
-1,Salt Lake City,On Time,4,,2026-03-14 09:55:00,2026-03-14 09:55:00,DL1198,SLC
708672,Sacramento,On Time,17,,2026-03-14 10:00:00,2026-03-14 10:00:00,WN3281,SMF
-1,San Francisco,On Time,12,,2026-03-14 10:06:00,2026-03-14 10:06:00,AS3440,SFO
-1,Seattle-Tacoma,On Time,11,,2026-03-14 10:31:00,2026-03-14 10:31:00,AS1378,SEA
708683,San Jose Del Cabo,On Time,20,,2026-03-14 10:35:00,2026-03-14 10:35:00,WN630,SJD
708682,Oakland,On Time,19,,2026-03-14 10:35:00,2026-03-14 10:35:00,WN204,OAK
-1,Las Vegas,On Time,15,,2026-03-14 10:48:00,2026-03-14 10:48:00,NK1623,LAS
-1,Boise,On Time,16,,2026-03-14 10:49:00,2026-03-14 10:49:00,G43228,BOI
-1,Chicago/O'Hare,On Time,10,,2026-03-14 10:52:00,2026-03-14 10:52:00,"UA2426, AC4307",ORD
-1,Dallas-Ft. Worth,On Time,6,,2026-03-14 10:55:00,2026-03-14 10:55:00,AA3197,DFW
-1,Provo,On Time,2,,2026-03-14 11:00:00,2026-03-14 11:00:00,MX605,PVU
-1,Portland,On Time,13,,2026-03-14 11:02:00,2026-03-14 11:02:00,AS1405,PDX
-1,Seattle-Tacoma,On Time,4,,2026-03-14 11:04:00,2026-03-14 11:04:00,DL2101,SEA
-1,Denver,On Time,9,,2026-03-14 11:15:00,2026-03-14 11:15:00,"UA421, AC5027",DEN
-1,Denver,On Time,,,2026-03-14 11:32:00,2026-03-14 11:32:00,F94372,DEN
-1,Chicago/O'Hare,On Time,7,,2026-03-14 11:41:00,2026-03-14 11:41:00,AA2285,ORD
-1,San Francisco,On Time,12,,2026-03-14 11:48:00,2026-03-14 11:48:00,AS3450,SFO
708696,Las Vegas,On Time,17,,2026-03-14 12:00:00,2026-03-14 12:00:00,WN3810,LAS
-1,Las Vegas,On Time,2,,2026-03-14 12:10:00,2026-03-14 12:10:00,DL4078,LAS
-1,Santa Rosa,On Time,13,,2026-03-14 12:16:00,2026-03-14 12:16:00,AS3467,STS
-1,Vancouver,Delayed,14,,2026-03-14 12:25:00,2026-03-14 12:40:00,AC599,YVR
-1,Phoenix,On Time,5,,2026-03-14 12:26:00,2026-03-14 12:26:00,AA456,PHX
-1,Spokane,On Time,12,,2026-03-14 12:29:00,2026-03-14 12:29:00,AS2338,GEG
-1,Houston,On Time,10,,2026-03-14 12:29:00,2026-03-14 12:29:00,UA2451,IAH
-1,Atlanta,On Time,3,,2026-03-14 12:34:00,2026-03-14 12:34:00,DL329,ATL
708702,Phoenix,On Time,18,,2026-03-14 12:45:00,2026-03-14 12:45:00,WN3287,PHX
-1,Dallas-Ft. Worth,On Time,6,,2026-03-14 12:47:00,2026-03-14 12:47:00,AA2264,DFW
-1,Newark,On Time,8,,2026-03-14 12:48:00,2026-03-14 12:48:00,"UA1559, AC4087",EWR
-1,Seattle-Tacoma,On Time,11,,2026-03-14 12:56:00,2026-03-14 12:56:00,AS1308,SEA
-1,New York/JFK,On Time,7,,2026-03-14 13:00:00,2026-03-14 13:00:00,AA3085,JFK
-1,San Francisco,On Time,12,,2026-03-14 13:24:00,2026-03-14 13:24:00,AS3023,SFO
-1,Phoenix,On Time,5,,2026-03-14 13:27:00,2026-03-14 13:27:00,AA457,PHX
-1,Denver,On Time,9,,2026-03-14 13:27:00,2026-03-14 13:27:00,"UA1937, AC5278",DEN
-1,Provo,On Time,2,,2026-03-14 13:30:00,2026-03-14 13:30:00,MX603,PVU
-1,Salt Lake City,On Time,4,,2026-03-14 13:35:00,2026-03-14 13:35:00,DL1189,SLC
708707,San Jose,On Time,18,,2026-03-14 13:55:00,2026-03-14 13:55:00,WN3496,SJC
-1,Portland,On Time,11,,2026-03-14 14:10:00,2026-03-14 14:10:00,AS712,PDX
-1,Calgary,On Time,,,2026-03-14 14:15:00,2026-03-14 14:15:00,WS1581,YYC
-1,Chicago/O'Hare,On Time,10,,2026-03-14 14:22:00,2026-03-14 14:22:00,"UA1352, AC4596",ORD
708708,Denver,On Time,17,,2026-03-14 14:30:00,2026-03-14 14:30:00,WN4503,DEN
-1,Dallas-Ft. Worth,On Time,6,,2026-03-14 14:47:00,2026-03-14 14:47:00,AA2861,DFW
-1,Tucson,On Time,12,,2026-03-14 14:47:00,2026-03-14 14:47:00,AS3308,TUS
-1,Las Vegas,On Time,15,,2026-03-14 14:53:00,2026-03-14 14:53:00,NK1631,LAS
-1,Seattle-Tacoma,On Time,11,,2026-03-14 15:01:00,2026-03-14 15:01:00,AS760,SEA
-1,Chicago/O'Hare,On Time,7,,2026-03-14 15:24:00,2026-03-14 15:24:00,AA2212,ORD
-1,Houston,On Time,8,,2026-03-14 15:25:00,2026-03-14 15:25:00,UA1950,IAH
708711,Las Vegas,On Time,18,,2026-03-14 15:50:00,2026-03-14 15:50:00,WN700,LAS
-1,San Francisco,On Time,12,,2026-03-14 16:05:00,2026-03-14 16:05:00,AS3393,SFO
708715,Oakland,On Time,19,,2026-03-14 16:30:00,2026-03-14 16:30:00,WN278,OAK
708716,Phoenix,On Time,20,,2026-03-14 16:40:00,2026-03-14 16:40:00,WN510,PHX
-1,Dallas-Ft. Worth,On Time,6,,2026-03-14 16:45:00,2026-03-14 16:45:00,AA2659,DFW
-1,Provo,On Time,16,,2026-03-14 16:56:00,2026-03-14 16:56:00,G41605,PVU
-1,Phoenix,On Time,6,,2026-03-14 17:01:00,2026-03-14 17:01:00,AA2094,PHX
-1,Seattle-Tacoma,On Time,11,,2026-03-14 17:14:00,2026-03-14 17:14:00,AS1342,SEA
-1,San Francisco,On Time,12,,2026-03-14 17:22:00,2026-03-14 17:22:00,AS3494,SFO
-1,Las Vegas,On Time,3,,2026-03-14 17:31:00,2026-03-14 17:31:00,DL4074,LAS
708718,San Jose,On Time,19,,2026-03-14 17:45:00,2026-03-14 17:45:00,WN1538,SJC
-1,Salt Lake City,On Time,4,,2026-03-14 17:55:00,2026-03-14 17:55:00,DL1277,SLC
-1,Portland,On Time,11,,2026-03-14 18:07:00,2026-03-14 18:07:00,AS589,PDX
708720,Las Vegas,On Time,14,,2026-03-14 18:10:00,2026-03-14 18:10:00,WN580,LAS
-1,San Francisco,On Time,8,,2026-03-14 18:20:00,2026-03-14 18:20:00,"UA2496, AC4517",SFO
708721,Sacramento,On Time,18,,2026-03-14 18:30:00,2026-03-14 18:30:00,WN147,SMF
-1,Denver,On Time,10,,2026-03-14 18:34:00,2026-03-14 18:34:00,"UA2656, AC5328",DEN
708725,Oakland,On Time,17,,2026-03-14 19:05:00,2026-03-14 19:05:00,WN4510,OAK
-1,Dallas-Ft. Worth,On Time,7,,2026-03-14 19:18:00,2026-03-14 19:18:00,AA3223,DFW
708734,Phoenix,Delayed,19,,2026-03-14 19:20:00,2026-03-14 19:30:00,WN4102,PHX
-1,San Francisco,On Time,8,,2026-03-14 19:37:00,2026-03-14 19:37:00,"UA5339, AC4247",SFO
708736,Denver,On Time,20,,2026-03-14 19:45:00,2026-03-14 19:45:00,WN4504,DEN
-1,Phoenix,On Time,5,,2026-03-14 19:48:00,2026-03-14 19:48:00,AA2088,PHX
-1,Boise,On Time,11,,2026-03-14 19:59:00,2026-03-14 19:59:00,AS336,BOI
708737,San Jose,On Time,18,,2026-03-14 20:10:00,2026-03-14 20:10:00,WN2805,SJC
-1,Everett,On Time,12,,2026-03-14 20:43:00,2026-03-14 20:43:00,AS2116,PAE
708741,Sacramento,On Time,19,,2026-03-14 21:10:00,2026-03-14 21:10:00,WN4524,SMF
-1,Newark,On Time,9,,2026-03-14 21:14:00,2026-03-14 21:14:00,"UA2186, AC3098",EWR
